window_start_ms,window_end_ms,label,capture_role,plc_ip,session_id,host_id,scenario_id,episode_id,opcua_packet_count,opcua_byte_count,opcua_frame_len_mean,opcua_frame_len_std,opcua_unique_src_ip_count,opcua_unique_dst_ip_count,opcua_unique_tcp_stream_count,opcua_hel_count,opcua_opn_count,opcua_msg_count,opcua_clo_count,opcua_err_count,opcua_status_good_count,opcua_status_uncertain_count,opcua_status_bad_count,opcua_get_endpoints_count,opcua_open_secure_channel_count,opcua_close_secure_channel_count,opcua_create_session_count,opcua_activate_session_count,opcua_close_session_count,opcua_browse_count,opcua_read_count,opcua_write_count,opcua_create_subscription_count,opcua_create_monitored_items_count,opcua_max_create_session_by_single_src,opcua_max_browse_by_single_src
1786292950000,1786292955000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33314,134.331,34.213,2,2,1,0,0,109,0,0,55,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
1786292955000,1786292960000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33490,133.96,32.562,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292960000,1786292965000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28416,134.038,35.974,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292965000,1786292970000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33898,134.516,36.143,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292970000,1786292975000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,214,28344,132.449,34.292,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292975000,1786292980000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33538,134.152,32.962,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292980000,1786292985000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33778,135.112,35.663,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292985000,1786292990000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28368,133.811,35.541,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292990000,1786292995000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,244,32862,134.68,32.64,2,2,1,0,0,108,0,0,54,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
1786292995000,1786293000000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28368,133.811,35.541,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
